Case number,Block,IUCR,Location Description,Beat,Ward,FBI Code,Hour,Weekday,Monthday,Month,Violent
HM232458,070XX S MERRILL AVE,1754,RESIDENCE,0331,5,02,0,1,1,1,1
HM472409,006XX N STATE ST,1754,HOTEL/MOTEL,1832,42,02,0,1,1,1,1
HM489712,100XX S EMERALD AVE,1754,RESIDENCE,2232,34,02,23,6,21,7,1
HM496701,054XX W MONROE ST,1754,RESIDENCE,1522,29,02,0,1,1,1,1
HM505731,034XX W SHAKESPEARE AVE,1754,RESIDENCE,1413,26,02,0,1,1,1,1
HM342534,055XX W 64TH ST,1754,RESIDENCE,0813,13,02,0,1,1,1,1
HM548388,051XX S CICERO AVE,1754,APARTMENT,0814,23,02,12,0,1,4,1
HM594320,013XX W CULLERTON ST,1754,RESIDENCE,1222,25,02,0,6,1,9,1
HM661782,075XX S PAULINA ST,1754,RESIDENCE,0611,17,02,7,0,15,4,1
HM742302,024XX W 45TH PL,1753,RESIDENCE,0914,12,02,22,2,28,8,1
HM748312,028XX S RIDGEWAY AVE,1754,RESIDENCE,1031,22,02,0,1,1,1,1
HN150549,014XX W 76TH ST,1754,APARTMENT,0612,17,02,0,1,1,1,1
HN187942,015XX W WASHBURNE AVE,1754,RESIDENCE,1231,2,02,0,1,1,1,1
HN205656,037XX N PAULINA ST,1025,RESIDENCE,1923,47,09,19,6,11,8,0
HN268267,008XX N FRANCISCO AVE,1753,OTHER,1311,26,02,0,1,1,1,1
HN595652,031XX W MONTROSE AVE,1754,RESIDENCE,1724,33,02,0,6,1,9,1
HN558447,047XX S JUSTINE ST,1754,RESIDENCE,0931,20,02,0,1,1,1,1
HN704897,035XX W MC LEAN AVE,1754,RESIDENCE,1413,26,02,22,3,1,8,1
HN725837,056XX S KOLMAR AVE,1754,RESIDENCE,0813,13,02,22,1,15,10,1
HN764710,033XX W 59TH ST,1754,RESIDENCE,0822,14,02,16,0,7,10,1
HP263700,063XX S MORGAN ST,1754,RESIDENCE,0724,16,02,8,1,1,1,1
HP371544,095XX S SANGAMON ST,1754,RESIDENCE,2223,21,02,0,2,25,12,1
HP456511,019XX N RICHMOND ST,1753,APARTMENT,1421,35,02,8,1,16,7,1
HP481805,063XX S COTTAGE GROVE AVE,1753,APARTMENT,0312,20,02,20,1,19,2,1
HP736126,012XX S DAMEN AVE,1754,POLICE FACILITY/VEH PARKING LOT,1224,2,02,0,1,1,1,1
HR131352,027XX N SAWYER AVE,1754,APARTMENT,1412,35,02,0,1,1,1,1
HR301148,117XX S EGGLESTON AVE,1754,RESIDENCE,0522,34,02,0,1,1,1,1
HR388632,051XX S LAVERGNE AVE,1754,RESIDENCE,0814,23,02,0,1,1,1,1
HR376269,004XX W 57TH PL,1754,RESIDENCE,0711,20,02,0,5,1,6,1
HR548319,023XX N HAMLIN AVE,1754,RESIDENCE,2525,30,02,0,1,18,6,1
HR604907,095XX S CHAPPEL AVE,1754,RESIDENCE,0431,7,02,14,1,1,10,1
HR679999,028XX N CAMPBELL AVE,1754,RESIDENCE,1411,1,02,0,1,1,1,1
HS284380,106XX S RHODES AVE,1754,RESIDENCE,0512,9,02,0,1,1,1,1
HS325127,102XX S WALDEN PKWY,1754,RESIDENCE,2213,19,02,0,1,1,1,1
HS375126,042XX W CORTEZ ST,1754,APARTMENT,1111,37,02,0,1,1,10,1
HS607300,050XX W CULLOM AVE,1754,APARTMENT,1624,45,02,12,5,9,11,1
HS637395,044XX N MAGNOLIA AVE,1754,RESIDENCE,2311,46,02,0,4,31,5,1
HT115976,066XX S KEATING AVE,1754,RESIDENCE,0833,13,02,0,1,1,1,1
HT138494,030XX N ELBRIDGE AVE,1754,RESIDENCE,1412,35,02,21,2,1,5,1
HT304358,058XX S MASSASOIT AVE,1754,RESIDENCE,0811,23,02,0,4,1,3,1
HT449406,041XX W NORTH AVE,1754,RESIDENCE,2534,30,02,20,5,1,6,1
HT449451,041XX W NORTH AVE,1754,RESIDENCE,2534,30,02,21,5,1,6,1
HT527167,029XX W POPE JOHN PAUL II DR,1754,RESIDENCE,0912,14,02,0,0,1,7,1
HT220360,054XX W WRIGHTWOOD AVE,1754,RESIDENCE,2515,30,02,0,3,24,1,1
HV131095,069XX S CAMPBELL AVE,1753,RESIDENCE,0832,15,02,0,1,1,1,1
HV138749,014XX N MAYFIELD AVE,1753,RESIDENCE,2531,29,02,0,2,21,8,1
HV151268,018XX W 18TH ST,1753,APARTMENT,1223,25,02,8,6,1,9,1
HV153026,065XX S DR MARTIN LUTHER KING JR DR,1754,RESIDENCE,0312,20,02,0,2,1,5,1
HV166142,068XX S KENNETH AVE,1754,RESIDENCE,0833,13,02,0,1,1,1,1
HV484758,056XX S KILBOURN AVE,1754,RESIDENCE,0813,13,02,0,5,13,7,1
HV525386,024XX N MARMORA AVE,1754,RESIDENCE,2515,30,02,0,3,3,1,1
HV530775,112XX S NORMAL AVE,1754,RESIDENCE,2233,34,02,0,1,31,12,1
HW191838,048XX S LAVERGNE AVE,1754,RESIDENCE,0814,23,02,0,0,16,9,1
HW202829,047XX S WOLCOTT AVE,1754,RESIDENCE,0931,20,02,0,4,28,6,1
HW397519,047XX S HAMLIN AVE,1754,RESIDENCE,0821,14,02,0,1,1,1,1
HX354089,103XX S MUSKEGON AVE,1753,RESIDENCE,0431,10,02,0,5,1,6,1
HX479749,020XX W HOMER ST,1754,APARTMENT,1434,32,02,0,3,24,10,1
HH100129,063XX S KING DR,1090,APARTMENT,0312,,09,1,1,1,1,0
HH105275,0000X E 107 ST,031A,SIDEWALK,0513,,03,19,3,3,1,0
HH102775,004XX W 116 ST,031A,STREET,0522,,03,21,1,1,1,0
HH108326,008XX W 119 ST,031A,STREET,0524,,03,14,5,5,1,0
HH109884,001XX W 113 ST,1753,RESIDENCE,0522,,02,18,5,5,1,1
HH114842,055XX W QUINCY ST,031A,ALLEY,1522,,03,23,1,8,1,0
HH122867,001XX W 113 ST,033A,RESIDENCE,0522,,03,21,5,12,1,0
HH121670,117XX S AVENUE G,031A,OTHER,0433,,03,10,5,12,1,0
HH120707,075XX S KING DR,031A,STREET,0623,,03,19,4,11,1,0
HH127151,002XX W 111 ST,1754,RESIDENCE,0513,,02,22,0,14,1,1
HH133057,0000X W 110 PL,041A,STREET,0513,,04B,22,3,17,1,0
HH132553,086XX S KING DR,051A,STREET,0632,,04A,18,3,17,1,0
HH135044,001XX W 110 PL,041A,VEHICLE NON-COMMERCIAL,0513,,04B,23,4,18,1,0
HH137205,001XX E 119 ST,041A,STREET,0532,,04B,5,6,20,1,0
HH135411,039XX N PINE GROVE AV,1020,RESIDENCE PORCH/HALLWAY,2323,,09,7,5,19,1,0
HH138381,009XX E 130 PL,051A,CHA APARTMENT,0533,,04A,20,6,20,1,0
HH133264,074XX S KING DR,031A,STREET,0623,,03,4,4,18,1,0
HH144662,061XX S KING DR,031A,STREET,0312,,03,2,3,24,1,0
HH146320,063XX S KING DR,031A,STREET,0312,,03,12,3,24,1,0
HH147232,004XX E 115 ST,041A,STREET,0532,,04B,10,4,25,1,0
HH148767,007XX E 103 ST,031A,PARKING LOT/GARAGE(NON.RESID.),0512,,03,23,4,25,1,0
HH149038,009XX E 104 ST,031A,PARKING LOT/GARAGE(NON.RESID.),0512,,03,2,5,26,1,0
HH156805,0000X E 110 PL,031A,RESIDENCE PORCH/HALLWAY,0513,,03,3,2,30,1,0
HH155882,003XX E 117 ST,051A,RESIDENCE,0532,,04A,15,1,29,1,0
HH158609,013XX W 115 ST,031A,ALLEY,0524,,03,22,2,30,1,0
HH155235,035XX S KING DR,051A,CTA BUS,0211,,04A,7,1,29,1,0
HH152275,037XX S KING DR,031A,CHA APARTMENT,0211,,03,19,6,27,1,0
HH161022,050XX S KING DR,051A,RESIDENCE,0224,,04A,10,4,1,2,0
HH169474,025XX E 106 ST,051A,GROCERY FOOD STORE,0434,,04A,19,1,5,2,0
HH167326,059XX S KING DR,051A,RESIDENCE,0234,,04A,18,6,3,2,0
HH173835,007XX E 134 ST,051A,STREET,0533,,04A,0,4,8,2,0
HH177540,0000X W 110 ST,041A,STREET,0513,,04B,20,5,9,2,0
HH177479,113XX S KING DR,041A,SIDEWALK,0531,,04B,19,5,9,2,0
HH181440,002XX E 103 ST,031A,GROCERY FOOD STORE,0511,,03,20,0,11,2,0
HH183364,111XX S KING DR,031A,SIDEWALK,0531,,03,20,1,12,2,0
HH183546,001XX E 118 ST,031A,RESIDENCE,0532,,03,21,1,12,2,0
HH186466,004XX W 102 ST,1020,VEHICLE NON-COMMERCIAL,2232,,09,9,3,14,2,0
HH185755,071XX S KING DR,031A,STREET,0323,,03,4,3,14,2,0
HH190726,008XX E DREXEL SQ DR,051A,APARTMENT,2124,,04A,11,5,16,2,0
HH202048,0000X E 110 PL,1025,RESIDENCE,0513,,09,10,4,22,2,0
HH204971,001XX E 113 ST,041A,STREET,0531,,04B,19,5,23,2,0
HH204087,007XX W 119 ST,031A,SIDEWALK,0524,,03,10,5,23,2,0
HH205337,006XX E 115 ST,051A,RESTAURANT,0531,,04A,23,5,23,2,0
HH205769,066XX S KING DR,031A,HOTEL/MOTEL,0312,,03,7,6,24,2,0
HH208556,014XX W 110 PL,051A,RESIDENCE,2234,,04A,15,0,25,2,0
HH217475,066XX S KING DR,031A,STREET,0312,,03,3,5,2,3,0
HH220631,037XX W 111 ST,031A,STREET,2211,,03,2,0,4,3,0
HH226852,006XX E 103 PL,051A,APARTMENT,0512,,04A,3,3,7,3,0
HH219179,075XX S KING DR,051A,STREET,0623,,04A,4,6,3,3,0
HH226752,014XX W 115 ST,031A,TAVERN/LIQUOR STORE,2234,,03,23,2,6,3,0
HH231089,003XX W 109 PL,1020,VEHICLE NON-COMMERCIAL,0513,,09,1,5,9,3,0
HH229813,001XX E 118 PL,051A,RESIDENCE,0532,,04A,14,4,8,3,0
HH234061,051XX S KING DR,1025,APARTMENT,0234,,09,10,6,10,3,0
HH234509,011XX W 105 ST,051A,STREET,2232,,04A,23,6,10,3,0
HH240580,002XX W 109 PL,1090,VEHICLE NON-COMMERCIAL,0513,,09,20,2,13,3,0
HH243058,002XX E 132 ST,041A,STREET,0533,,04B,23,3,14,3,0
HH242601,0000X W 123 ST,051A,STREET,0523,,04A,19,3,14,3,0
HH240875,051XX S KING DR,041A,STREET,0234,,04B,23,2,13,3,0
HH243462,001XX W 118 ST,051A,SIDEWALK,0522,,04A,8,4,15,3,0
HH249153,0000X E 114 ST,031A,STREET,0531,,03,2,0,18,3,0
HH243086,010XX E 134 ST,033A,CHA PARKING LOT/GROUNDS,0533,,03,23,3,14,3,0
HH241963,012XX W 103 ST,041A,STREET,2232,,04B,14,4,8,3,0
HH251848,013XX W 109 ST,1020,RESIDENCE,2234,,09,11,1,19,3,0
HH252446,076XX S KING DR,051B,STREET,0623,,04A,15,1,19,3,0
HH253395,061XX S KING DR,031A,STREET,0312,,03,2,2,20,3,0
HH252320,034XX S KING DR,051A,STREET,2122,,04A,15,1,19,3,0
HH258305,006XX E 103 ST,031A,RESTAURANT,0511,,03,13,4,22,3,0
HH259579,024XX W 69 ST,051A,STREET,0832,,04A,0,5,23,3,0
HH258772,002XX W 104 PL,031A,ALLEY,0512,,03,9,3,21,3,0
HH261024,001XX W 103 PL,041A,RESIDENCE,0512,,04B,19,5,23,3,0
HH263289,109XX S KEDZIE AV,1020,RESIDENCE,2211,,09,3,0,25,3,0
HH262375,003XX E 103 ST,031A,SMALL RETAIL STORE,0512,,03,14,6,24,3,0
HH272049,006XX W 111 ST,033A,STREET,2233,,03,3,4,29,3,0
HH271927,004XX W 116 ST,051A,STREET,0522,,04A,0,4,29,3,0
HH271893,010XX E 132 ST,051A,CHA PARKING LOT/GROUNDS,0533,,04A,0,4,29,3,0
HH271280,065XX S KING DR,051A,CTA BUS,0312,,04A,18,3,28,3,0
HH274132,002XX W 119 ST,051A,STREET,0522,,04A,2,5,30,3,0
HH280857,008XX E 103 ST,051A,"SCHOOL, PUBLIC, BUILDING",0512,,04A,13,1,2,4,0
HH286198,006XX E 133 ST,041B,CHA PARKING LOT/GROUNDS,0533,,04B,0,4,5,4,0
HH286619,002XX W 111 ST,051A,RESIDENCE,0513,,04A,9,4,5,4,0
HH288700,0000X E 111 ST,051A,SIDEWALK,0513,,04A,3,5,6,4,0
HH288506,011XX E 130 PL,051A,CHA PARKING LOT/GROUNDS,0533,,04A,0,4,5,4,0
HH289758,003XX W 103 ST,051A,STREET,0511,,04A,15,5,6,4,0
HH295402,025XX E 106 ST,031A,SMALL RETAIL STORE,0434,,03,11,1,9,4,0
HH292955,008XX E 103 ST,051A,"SCHOOL, PUBLIC, BUILDING",0512,,04A,13,4,5,4,0
HH299045,014XX W 114 PL,051A,RESIDENCE,2234,,04A,21,2,10,4,0
HH300932,011XX W 112 ST,041B,RESIDENCE PORCH/HALLWAY,2234,,04B,18,3,11,4,0
HH298998,071XX S KING DR,031A,BAR OR TAVERN,0323,,03,21,2,10,4,0
HH307654,003XX W 110 PL,051A,STREET,0513,,04A,23,6,14,4,0
HH306385,003XX E 115 ST,031A,STREET,0532,,03,10,6,14,4,0
HH309875,006XX E 103 ST,031A,RESTAURANT,0511,,03,22,0,15,4,0
HH309820,002XX W 112 PL,051A,SIDEWALK,0522,,04A,21,0,15,4,0
HH299776,038XX W 111 ST,051A,"SCHOOL, PUBLIC, BUILDING",2211,,04A,10,3,11,4,0
HH314049,061XX S KING DR,041A,STREET,0312,,04B,12,2,17,4,0
HH314545,080XX S KING DR,031A,SIDEWALK,0623,,03,1,3,18,4,0
HH322070,028XX E 130 ST,031A,VACANT LOT/LAND,0433,,03,16,6,21,4,0
HH318890,002XX W 107 PL,041A,RESIDENCE,0513,,04B,1,5,20,4,0
HH326302,006XX E 103 ST,031A,RESTAURANT,0511,,03,16,1,23,4,0
HH646818,021XX W HURON ST,051A,RESIDENCE,1313,1,04A,4,5,14,9,0
HH724487,009XX W 51ST ST,051A,APARTMENT,0934,20,04A,21,4,18,10,0
HY299263,071XX S JEFFERY BLVD,1753,RESIDENCE,0333,5,02,0,1,1,1,1
HH100471,001XX E 107 ST,051A,SIDEWALK,0513,,04A,3,1,1,1,0
HH103970,065XX W BELMONT AV,031A,GROCERY FOOD STORE,1632,,03,3,3,3,1,0
HH103832,034XX W LE MOYNE ST,031A,SIDEWALK,1422,,03,23,2,2,1,0
HH106946,043XX W NORTH AV,031A,SIDEWALK,2534,,03,16,4,4,1,0
HH110499,008XX E 66 ST,051A,APARTMENT,0321,,04A,18,6,6,1,0
HH111258,077XX W MYRTLE AV,041B,RESIDENCE,1612,,04B,8,0,7,1,0
HH112675,021XX S STATE ST,031A,STREET,2111,,03,21,0,7,1,0
HH113033,059XX W CORCORAN PL,031A,STREET,1512,,03,7,1,8,1,0
HH103324,040XX S PRAIRIE AV,051A,CHA APARTMENT,0214,,04A,17,2,2,1,0
HH112951,132XX S LANGLEY AV,031A,CHA PARKING LOT/GROUNDS,0533,,03,2,1,8,1,0
HH121162,017XX W CORTEZ ST,031A,STREET,1322,,03,0,5,12,1,0
HH123120,107XX S EGGLESTON AV,051A,STREET,2233,,04A,22,5,12,1,0
HH119061,010XX E 45 ST,031A,TAXICAB,2123,,03,23,3,10,1,0
HH119065,024XX E 74 ST,041A,RESIDENCE,0334,,04B,23,3,10,1,0
HH122766,0000X E 55 ST,031A,STREET,0232,,03,20,5,12,1,0
HH124890,003XX E 71 ST,041A,STREET,0322,,04B,2,0,14,1,0
HH164423,015XX S KOLIN AV,1020,VEHICLE NON-COMMERCIAL,1012,,09,3,6,3,2,0
HH112644,0000X N SPRINGFIELD AV,031A,ALLEY,1122,,03,21,0,7,1,0
HH132950,111XX S ASHLAND AV,031A,STREET,2234,,03,21,3,17,1,0
HH130539,001XX E PERSHING RD,033B,STREET,0211,,03,17,2,16,1,0
HH124048,0000X S KILPATRICK AV,051A,STREET,1113,,04A,15,6,13,1,0
HH133167,050XX W CHICAGO AV,031A,SIDEWALK,1531,,03,0,4,18,1,0
HH135205,020XX N LEAVITT ST,031A,STREET,1432,,03,1,5,19,1,0
HH138740,013XX N LATROBE AV,041A,STREET,2532,,04B,2,0,21,1,0
HH140150,004XX N PINE AV,031A,SIDEWALK,1523,,03,19,0,21,1,0
HH139145,074XX S WABASH AV,031A,STREET,0323,,03,18,6,20,1,0
HH138693,040XX W 18 ST,041A,STREET,1012,,04B,1,0,21,1,0
HH139038,044XX W WEST END AV,041A,STREET,1113,,04B,9,0,21,1,0
HH142711,016XX W LELAND AV,051A,STREET,1922,,04A,5,2,23,1,0
HH164165,015XX W LAWRENCE AV,1025,APARTMENT,2032,,09,23,5,2,2,0
HH142396,007XX E 79 ST,041A,TAVERN/LIQUOR STORE,0624,,04B,22,1,22,1,0
HH165768,027XX S INDIANA AV,051A,APARTMENT,2112,,04A,22,6,3,2,0
HZ177144,100XX S EWING AVE,1753,RESIDENCE,0432,10,02,0,1,1,1,1
HH148872,018XX S ASHLAND AV,051A,STREET,1222,,04A,0,5,26,1,0
HH151208,078XX S STATE ST,031A,CHA HALLWAY/STAIRWELL/ELEVATOR,0623,,03,1,6,27,1,0
HH151109,001XX E 24 ST,041A,ALLEY,2112,,04B,4,6,27,1,0
HH151067,030XX W CHICAGO AV,031A,SIDEWALK,1311,,03,3,6,27,1,0
HH151438,080XX S CICERO AV,1020,ALLEY,0834,,09,4,6,27,1,0
HH152609,099XX S LA SALLE ST,051A,STREET,0511,,04A,23,6,27,1,0
HH153168,081XX S CICERO AV,1020,ALLEY,0834,,09,21,5,26,1,0
HH156598,017XX W FULLERTON AV,051A,STREET,1931,,04A,17,1,29,1,0
HH152769,068XX N CLARK ST,051A,STREET,2424,,04A,3,0,28,1,0
HH155804,033XX S WABASH AV,051A,"SCHOOL, PRIVATE, BUILDING",2113,,04A,14,1,29,1,0
HH154631,010XX W 78 ST,031A,SIDEWALK,0612,,03,22,0,28,1,0
HH158381,021XX W BYRON ST,1020,VEHICLE NON-COMMERCIAL,1912,,09,19,2,30,1,0
HH156697,054XX W MADISON ST,031B,STREET,1522,,03,0,2,30,1,0
HH158871,012XX W GREENLEAF AV,1020,VEHICLE NON-COMMERCIAL,2423,,09,0,3,31,1,0
HH164011,103XX S WENTWORTH AV,031A,STREET,0512,,03,20,5,2,2,0
HH157365,003XX N LAKE SHORE DR,031A,STREET,0124,,03,11,2,30,1,0
HH164504,108XX S BENSLEY AV,031A,STREET,0434,,03,4,6,3,2,0
HH161260,007XX E 85 ST,031A,STREET,0632,,03,13,4,1,2,0
HH156379,030XX S ASHLAND AV,031A,WAREHOUSE,0922,,03,18,1,29,1,0
HH164524,006XX N WELLS ST,051A,PARKING LOT/GARAGE(NON.RESID.),1832,,04A,4,6,3,2,0
HH167466,081XX S SOUTH CHICAGO AV,031A,VEHICLE NON-COMMERCIAL,0414,,03,13,0,4,2,0
HH167604,050XX W FERDINAND ST,041A,STREET,1532,,04B,20,0,4,2,0
HH169363,042XX S CICERO AV,031A,RESIDENCE,0815,,03,19,1,5,2,0
HH171826,034XX W MADISON ST,033A,OTHER,1123,,03,0,3,7,2,0
HH173230,049XX N BROADWAY,031A,ALLEY,2033,,03,17,3,7,2,0
HH164282,053XX W HARRISON ST,031A,RESIDENCE PORCH/HALLWAY,1522,,03,0,6,3,2,0
HH175063,015XX E 69 PL,031A,ALLEY,0332,,03,16,4,8,2,0
HH163428,051XX W WEST END AV,031A,RESIDENCE,1532,,03,15,5,2,2,0
HH165406,009XX W 73 ST,031A,GROCERY FOOD STORE,0733,,03,16,6,3,2,0
HH176196,074XX S MARYLAND AV,041A,STREET,0323,,04B,4,5,9,2,0
HH178833,024XX W 63 ST,031A,SIDEWALK,0825,,03,13,6,10,2,0
HH168933,011XX N CLEAVER ST,051A,STREET,1323,,04A,15,1,5,2,0
HH173547,040XX S VINCENNES AV,041A,STREET,0213,,04B,20,3,7,2,0
HH180581,024XX S KEDVALE AV,031A,SIDEWALK,1013,,03,12,0,11,2,0
HH165551,061XX S HONORE ST,051A,STREET,0714,,04A,18,6,3,2,0
HH180400,037XX W FULLERTON AV,031A,SMALL RETAIL STORE,2524,,03,12,0,11,2,0
HH179338,038XX W MAYPOLE AV,041A,ALLEY,1122,,04B,19,6,10,2,0
HH178034,034XX W OHIO ST,041A,STREET,1121,,04B,1,6,10,2,0
HH162459,002XX N HOMAN AV,031A,TAVERN/LIQUOR STORE,1123,,03,1,5,2,2,0
HH189191,033XX W WRIGHTWOOD AV,051A,STREET,1412,,04A,19,4,15,2,0
HH191258,007XX N CICERO AV,041B,STREET,1531,,04B,20,5,16,2,0
HH194584,067XX S HAMILTON AV,1020,VEHICLE NON-COMMERCIAL,0726,,09,18,0,18,2,0
HH194011,055XX W LAKE ST,031A,STREET,1523,,03,14,0,18,2,0
HH191503,067XX S BLACKSTONE AV,051A,STREET,0332,,04A,0,6,17,2,0
HH200968,015XX E 62 ST,031A,OTHER,0314,,03,19,3,21,2,0
HH201564,013XX W 32 ST,031A,STREET,0923,,03,4,4,22,2,0
HH203438,055XX S GREEN ST,041A,STREET,0712,20,04B,23,4,22,2,0
HH207064,009XX S CENTRAL AV,1020,VEHICLE NON-COMMERCIAL,1522,,09,20,6,24,2,0
HH205601,017XX W 35 ST,031A,ALLEY,0922,,03,2,6,24,2,0
HH205546,043XX W NORTH AV,031A,SIDEWALK,2534,,03,1,6,24,2,0
HH100288,029XX N RACINE AV,031A,STREET,1932,,03,2,1,1,1,0
HH100157,123XX S UNION AV,041A,STREET,0523,,04B,1,1,1,1,0
HH100017,105XX S UNION AV,041A,ALLEY,2233,,04B,0,1,1,1,0
HH101719,027XX N CICERO AV,1020,VEHICLE NON-COMMERCIAL,2521,,09,21,1,1,1,0
HH101672,063XX S TROY ST,041A,STREET,0823,,04B,20,1,1,1,0
HH100290,073XX W GREENLEAF AV,051A,STREET,1611,,04A,2,1,1,1,0
HH101792,112XX S ABERDEEN ST,041A,RESIDENCE,2234,,04B,22,1,1,1,0
HH101692,067XX S SOUTH CHICAGO AV,041A,ALLEY,0321,,04B,21,1,1,1,0
HH101799,070XX S RHODES AV,031A,APARTMENT,0322,,03,21,1,1,1,0
HH101927,095XX S LOOMIS ST,041A,RESIDENCE PORCH/HALLWAY,2213,,04B,0,2,2,1,0
HH100352,028XX N CLYBOURN AV,051A,CHA PARKING LOT/GROUNDS,1913,,04A,1,1,1,1,0
HH100043,004XX W ENGLEWOOD AV,041A,SIDEWALK,0711,,04B,0,1,1,1,0
HH101333,097XX S MUSKEGON AV,041B,STREET,0431,,04B,16,1,1,1,0
HH101336,032XX W CERMAK RD,1020,VEHICLE NON-COMMERCIAL,1022,,09,15,1,1,1,0
HH100826,048XX W DIVERSEY AV,031A,RESTAURANT,2521,,03,11,1,1,1,0
HH101633,016XX E 79 ST,041B,STREET,0414,,04B,20,1,1,1,0
HH100528,029XX N ALBANY AV,051A,RESIDENCE PORCH/HALLWAY,1411,,04A,5,1,1,1,0
HH101456,052XX W JACKSON BV,031A,GAS STATION,1522,,03,17,1,1,1,0
HH100588,052XX W CHICAGO AV,031A,STREET,1524,,03,2,1,1,1,0
HH100437,052XX W CHICAGO AV,031A,STREET,1524,,03,4,1,1,1,0
HH100837,059XX W OHIO ST,051A,RESIDENCE,1512,,04A,11,1,1,1,0
HH100201,012XX W 70 ST,041A,RESIDENCE PORCH/HALLWAY,0734,,04B,1,1,1,1,0
HH101212,048XX W ARTHINGTON ST,041A,STREET,1533,,04B,15,1,1,1,0
HH101316,064XX S MAY ST,031A,SIDEWALK,0724,,03,16,1,1,1,0
HH100180,056XX W MADISON ST,041B,BAR OR TAVERN,1513,,04B,1,1,1,1,0
HH101951,011XX W 59 ST,031A,SIDEWALK,0712,,03,1,2,2,1,0
HH101967,055XX S MAY ST,031A,STREET,0712,,03,1,2,2,1,0
HH102589,019XX W ERIE ST,031A,APARTMENT,1324,,03,13,2,2,1,0
HH101922,008XX N NOBLE ST,031A,TAXICAB,1323,,03,1,2,2,1,0
HH103079,068XX S OAKLEY AV,031A,STREET,0832,,03,16,2,2,1,0
HH103851,091XX S STONY ISLAND AV,031A,HOTEL/MOTEL,0413,,03,22,2,2,1,0
HH101717,001XX S LEAVITT ST,051A,SIDEWALK,1211,,04A,21,1,1,1,0
HH103911,007XX S WESTERN AV,051B,RESIDENCE,1224,,04A,1,3,3,1,0
HH103947,004XX W MELROSE ST,031A,RESIDENCE PORCH/HALLWAY,2332,,03,3,3,3,1,0
HH102697,027XX E 79 ST,051B,STREET,0421,,04A,13,2,2,1,0
HH103425,113XX S YALE AV,041A,RESIDENCE,0522,,04B,19,2,2,1,0
HH103601,027XX N WESTERN AV,031A,RESTAURANT,1432,,03,21,2,2,1,0
HH103787,006XX W WRIGHTWOOD AV,031A,RESIDENCE PORCH/HALLWAY,1933,,03,23,2,2,1,0
HH103782,016XX N LEAVITT ST,033A,STREET,1434,,03,23,2,2,1,0
HH103982,057XX S WHIPPLE ST,051A,STREET,0824,,04A,4,3,3,1,0
HH100514,027XX S HOMAN AV,041A,STREET,1032,,04B,5,1,1,1,0
HH103491,032XX W FULLERTON AV,031A,SMALL RETAIL STORE,1413,,03,20,2,2,1,0
HH102068,009XX W 59 ST,031A,SIDEWALK,0712,,03,6,2,2,1,0
HH102722,030XX S KILDARE AV,033A,GROCERY FOOD STORE,1031,,03,14,2,2,1,0
HH102534,012XX S KEDZIE AV,031A,CURRENCY EXCHANGE,1022,,03,12,2,2,1,0
HH103225,063XX S LAFLIN ST,051A,STREET,0725,,04A,17,2,2,1,0
HH103221,033XX N MILWAUKEE AV,031A,SMALL RETAIL STORE,1731,,03,17,2,2,1,0
HH103244,042XX N KEDVALE AV,031A,SIDEWALK,1722,,03,18,2,2,1,0
HH100509,052XX S ABERDEEN ST,051A,RESIDENCE,0934,,04A,1,1,1,1,0
HH103413,003XX E 71 ST,031A,RESTAURANT,0322,,03,18,2,2,1,0
HH103709,073XX S WINCHESTER AV,051A,STREET,0735,,04A,22,2,2,1,0
HH103195,014XX E 69 ST,031A,ALLEY,0332,,03,16,2,2,1,0
HH103717,073XX S WINCHESTER AV,051A,STREET,0735,,04A,21,2,2,1,0
HH101810,069XX S STONY ISLAND AV,031A,STREET,0332,,03,22,1,1,1,0
HH100284,070XX S PAXTON AV,031A,STREET,0331,,03,2,1,1,1,0
HH103508,073XX S KINGSTON AV,051A,APARTMENT,0334,,04A,20,2,2,1,0
HH102468,010XX E 73 ST,051A,RESIDENCE,0324,,04A,12,2,2,1,0
HH102211,003XX N MASON AV,031A,SIDEWALK,1512,,03,7,2,2,1,0
HH103860,005XX S CENTRAL AV,041A,STREET,1522,,04B,0,3,3,1,0
HH103435,068XX W NORTH AV,031A,GROCERY FOOD STORE,2513,,03,19,2,2,1,0
HH100947,044XX W NORTH AV,031A,OTHER,2533,,03,12,1,1,1,0
HH102565,040XX S FEDERAL ST,031A,CHA HALLWAY/STAIRWELL/ELEVATOR,0214,,03,12,2,2,1,0
HH209470,036XX N CENTRAL PARK AV,031A,SIDEWALK,1732,,03,2,1,26,2,0
HH104113,025XX W WARREN BL,031A,COMMERCIAL / BUSINESS OFFICE,1332,,03,8,3,3,1,0
HH105420,001XX N WESTERN AV,033A,PARKING LOT/GARAGE(NON.RESID.),1332,,03,20,3,3,1,0
HH105377,012XX W DEVON AV,051A,SIDEWALK,2433,,04A,19,3,3,1,0
HH105163,066XX S WESTERN AV,031A,STREET,0832,,03,18,3,3,1,0
HH103936,014XX W LELAND AV,041A,RESIDENCE,2311,,04B,10,2,2,1,0
HH105772,018XX N KIMBALL AV,1025,RESIDENCE,1422,,09,2,4,4,1,0
HH105733,024XX W DIVERSEY AV,031A,RESTAURANT,1411,,03,1,4,4,1,0
